"id","name","type","industry","rating","phone","fax","website","annual_revenue","number_of_employees","ownership","billing_address","shipping_address","description","site","sic_code","duns_number","ticker_symbol","ownership_type","customer_priority","sla","sla_expiration_date","upsell_opportunity","active","number_of_locations","ownership_transfer_date","parent_account_id"
1202,Allen Rose,Prospect,Manufacturing,Average,"1882555023","0262191972",https://www.booker.com/,4757088.08,214,Government,"3856 Kelly Road Apt. 561
Thomasview, MP 56613","1603 Hill Lakes
Lorifort, KY 89321",Myself hospital arrive commercial issue high cause. Recent type adult land movie whatever woman. Question enter use also offer plant enjoy during.,ellis.info,"2545","582783299",HYN,Government,High,2023-01-20,2027-07-27,true,true,10,2021-11-03,
1016,Gates Ltd,Customer,Manufacturing,Good,"4579489073","9604201345",http://www.ware-williams.com/,2881949.05,244,Private,"4212 Jenkins Knoll Suite 151
Joshuaberg, VA 16891","9100 Jose Lodge Apt. 904
Port Jeremyport, NC 23031",Hospital deep explain series. Worry senior write spring finish. Stage compare outside travel image theory. Information let owner defense next couple major.,lopez.com,"2138","867670957",QHJ,Private,Medium,2025-09-12,2028-06-03,false,false,9,2020-05-28,
1017,Williamson-Briggs,Partner,Healthcare,Excellent,"1240951297","3587471726",http://simon.net/,1383989.95,835,Private,"Unit 2815 Box 2722
DPO AA 13787","351 Torres Unions Apt. 624
West Rachael, MI 63744","Crime none level care lay north.
You north common explain program decade cup. Us ready yes part training.
Stand measure station. Many receive music us occur spend production.",bradley.net,"7073","315746626",OUO,Public,Low,2023-02-10,2027-06-16,false,false,5,2020-08-24,
1018,Smith-Bates,Prospect,Manufacturing,Average,"9387232015","4160111729",https://www.york.com/,4241999.35,522,Private,"913 Davis Viaduct
South Brianfurt, MP 61518","0110 Evan Ford Suite 434
South Juanmouth, PA 68923","Friend foot debate hospital they still. Charge eight knowledge among president hit benefit.
Drug exist third amount effort. Away hot center add decade step system mean.",scott-rogers.com,"5769","708000509",ROL,Partnership,Low,2025-02-07,2027-11-01,false,true,10,2022-05-24,
1019,"Price, Williams and Gonzalez",Partner,Healthcare,Average,"2003273651","7097968639",http://mejia.org/,99950.35,579,Public,"45187 Wilson Stream Apt. 689
North Kyleside, KY 72984","63240 Kim Hollow
Annaside, KY 16242","Standard establish consumer career garden. Least as later first.
Memory enter hot information card safe develop. Memory where they rich serious idea individual.",alvarez.org,"2250","131449354",QCT,Partnership,Low,2023-09-13,2028-05-12,true,true,9,2019-11-02,
1020,Williams LLC,Partner,Education,Average,"0393665513","1019858639",http://www.schneider.com/,4680940.37,954,Partnership,"288 Ramsey Fork
East Alexandra, PW 99214","79563 Gonzalez Dam Apt. 608
Williamberg, DC 34204",Goal know thought energy drop pretty face. Few sort training hundred. Include doctor home style pressure stop build.,anderson.com,"7880","459403717",DHY,Public,High,2022-01-04,2027-07-01,true,true,2,2021-08-16,
1021,Jacobs LLC,Customer,Education,Good,"4695390649","7592982554",http://boyer.org/,9508075.52,487,Public,"PSC 9771, Box 2173
APO AE 20151","35397 Alejandra Turnpike
Leachfurt, VI 47352","Game when daughter control me talk game.
Trial a music big far evening performance. Maybe low talk second child. Executive head past goal. Order film fine girl station.",garcia.com,"6789","309050193",EFO,Public,Medium,2025-02-02,2027-03-12,false,true,7,2021-07-05,
1022,Hurst Inc,Partner,Manufacturing,Average,"5619925689","7762611387",http://brown-lam.com/,1833126.73,375,Private,"25129 Jason Crossroad Suite 163
West Derekview, AL 85842","7696 Harper Avenue
East Ericville, TN 43855","Year that goal grow education hour rich goal. Letter call spring area factor.
Probably account thousand meeting reflect at. Hot summer clear tonight.
Kind cause direction until experience peace.",tanner.info,"1098","505038044",PTD,Private,Low,2023-01-18,2027-02-02,false,true,10,2021-06-16,
1023,Parks Group,Supplier,Finance,Average,"9347803578","6784337552",https://www.martinez.info/,2751719.23,777,Private,"853 Nichols Ridge
Oliverborough, WI 76183","6088 Justin Parkway Suite 983
Charlesborough, UT 10943","Program soldier short before. Short bar open red rather probably. Two issue include prevent. Ok animal box.
Appear vote pattern family reality.",west.com,"6027","651291328",KUL,Public,Medium,2023-03-10,2027-02-14,true,true,1,2018-12-10,
1024,Pugh-Garcia,Customer,Manufacturing,Good,"8049113624","8871883955",http://www.mcguire.com/,2601055.24,721,Private,"384 Jaime Extensions Apt. 430
Mooreview, MS 29630","4332 Jeremy Ports
Taylormouth, FM 95126",Accept month sister or. Who enter win hand little culture use. Glass traditional chance weight receive place. Majority always opportunity recent responsibility alone wish.,wilson.net,"2513","909452494",PKU,Public,Medium,2025-06-06,2027-12-24,true,true,5,2020-10-02,
1025,Guerrero-Scott,Partner,Technology,Good,"8783243675","9809671694",http://anderson.com/,3784052.12,657,Partnership,"14988 Franco Gardens
Bretttown, PR 19760","23384 White Ford
New Lynn, NC 66268",Pay long ground find receive mind. Movie need line particular anyone work city. Recently particularly when.,morrison.org,"3460","292110633",LQR,Partnership,High,2022-05-17,2028-11-05,false,true,6,2019-05-28,
1026,"Gonzalez, Martinez and Hunter",Partner,Finance,Excellent,"2281642592","3849307904",http://www.clements-torres.com/,4408545.49,417,Government,"PSC 9199, Box 2246
APO AA 53126","2535 Rodriguez Junction Apt. 980
North Mary, AL 04520","Whom partner party baby painting hair several. Mrs pressure perhaps. Hard a character role.
Top listen action ok book. Community start arrive at half issue.",rodgers.com,"8919","963610153",MBQ,Government,High,2023-02-07,2028-09-28,false,true,3,2021-11-30,
1027,"Austin, Strickland and Tran",Prospect,Education,Excellent,"8127360134","5293205256",http://blevins.com/,5457901.15,222,Public,"26799 Nicholas Mission
North Jeffrey, MO 65662","99818 Robert Views Apt. 151
Lake Max, NM 08577","Their live style call. Tax serve likely world glass. Last who community. Bar myself around guess.
None anyone region agent. Base number dream eight strong. So officer put dream away community player.",jackson-page.com,"5038","188601833",SAH,Partnership,High,2024-09-21,2028-12-01,false,true,9,2020-04-06,
